Language,Domain,Resource Count,Top Resources,Top URLs,Keywords
AI Tools for Developers,general,8,Best Practices for Coding with AI (2024) | AI Tools for Developers: 5 Types of Tools & How to Choose | Awesome AI-Powered Developer Tools | The Do's and Don'ts of Using AI in Software Development | 10 Best Practices for Secure AI Development,https://blog.codacy.com/best-practices-for-coding-with-ai | https://swimm.io/learn/ai-tools-for-developers/ai-tools-for-developers-5-types-of-tools-and-how-to-choose | https://github.com/jamesmurdza/awesome-ai-devtools | https://www.kodeco.com/41989083-the-do-s-and-don-ts-of-using-ai-in-software-development | https://snyk.io/blog/10-best-practices-for-securely-developing-with-ai/,"ai, and, api, awesome, best, best practices, choose, cloud, coding, debugging, developer, developers, development, do, don, for, how, in, of, powered, practices, refactoring, rest, secure, security, software, testing, the, to, tools, ts, types, typescript, using, with"
AI/ML Engineering Best Practices,general,7,MLOps Best Practices (Google Cloud) | Responsible AI Practices (Google) | Best Practices for LLM Applications | IBM Data Science – Best Practices | AI Best Practices (XenonStack Blog),https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning | https://ai.google/responsibilities/responsible-ai-practices/ | https://www.promptingguide.ai/ | https://github.com/IBM/data-science-best-practices | https://www.xenonstack.com/blog/ai-best-practices,"ai, airflow, api, applications, architecture, best, best practices, blog, cloud, data, debugging, deep, devops, engineering, etl, fastai.jl, for, google, ibm, in, julia, learning, llm, ml, mlops, monitoring, practices, responsible, rest, science, security, testing, with, xenonstack"
API Security,security,1,API Security Checklist,https://github.com/shieldfy/API-Security-Checklist,"api, authentication, authorization, best, checklist, practices, security, testing"
AWS,cloud,1,AWS Well-Architected Framework,https://aws.amazon.com/architecture/well-architected/,"architected, architecture, aws, best, best practices, cloud, deployment, framework, optimization, performance, practices, security, well"
Angular,frontend,3,Angular.js Advanced Design Patterns | Angular 2 Style Guide | AngularJS Style Guide,https://github.com/trochette/Angular-Design-Patterns-Best-Practices | https://github.com/mgechev/angular2-style-guide | https://github.com/mgechev/angularjs-style-guide,"advanced, angular, angular.js, angularjs, best, best practices, design, design patterns, frameworks, guide, libraries, ng, patterns, practices, style, style guide"
Bash,devops,4,Bash Best Practices | progrium/bashstyle | Best Practices for Bash Scripts | Best Practices for Writing Bash Scripts,https://bertvv.github.io/cheat-sheets/Bash.html | https://github.com/progrium/bashstyle | https://hyperskill.org/learn/step/19230 | https://expeditor.chef.io/docs/patterns/bash-scripts/,"api, automation, bash, bashstyle, best, best practices, clean code, for, practices, progrium, script, scripting, scripts, sh, shell, writing, zsh"
C/C++,systems,10,22 C# Best Practices | c-style | 3 Coding Best Practices for C++ | Collaborative Collection of C++ Best Practices | The C++ Core Guidelines,https://code-maze.com/csharp-22-best-practices/ | https://github.com/mcinglis/c-style | https://www.perforce.com/blog/qac/3-coding-best-practices-cpp | https://github.com/lefticus/cppbestpractices | https://github.com/isocpp/CppCoreGuidelines,"api, architecture, authorization, best, best practices, by, cloud, coding, collaborative, collection, conventions, core, correct, cppcon, enterprise, examples, exception, for, guidelines, handling, jvm, labs, languages, modern, of, optimization, performance, practices, programming, puppet, rest, security, style, style guide, systems, ten, the, tips, top, with"
CSS,frontend,4,Dropbox (S)CSS Style Guide | CSS Coding Standards & Best Practices | Google CSS Style Guide | Airbnb CSS / Sass Styleguide,https://github.com/dropbox/css-style-guide | https://github.com/stevekwan/best-practices/blob/master/css/best-practices.md | https://google.github.io/styleguide/htmlcssguide.html#CSS | https://github.com/airbnb/css,"airbnb, api, best, best practices, coding, core, css, dropbox, google, guide, practices, rest, sass, standards, style, style guide, styleguide, technologies"
Dart Best Practices,general,3,Dart & Flutter Best Practices | Performance Best Practices | Writing Clean Code in Dart: Best Practices & Design Patterns,https://lazebny.io/flutter-best-practices/ | https://docs.flutter.dev/perf/best-practices | https://clouddevs.com/dart/clean-code/,"best, best practices, clean, clean code, cloud, code, dart, design, design patterns, flutter, in, patterns, performance, practices, rest, writing"
Featured Resources,general,6,System Design 101 | Uber Go Style Guide | Google HTML/CSS Style Guide | Design Patterns in Go | Design Patterns in Swift,https://github.com/ByteByteGoHq/system-design-101 | https://github.com/uber-go/guide/blob/master/style.md | https://google.github.io/styleguide/htmlcssguide.html | https://refactoring.guru/design-patterns/go | https://github.com/ochococo/Design-Patterns-In-Swift,"api, css, design, design patterns, django, featured, flask, gems, go, golang, google, guide, guides, html, in, ios, language, macos, must, patterns, py, python, read, refactoring, resources, specific, style, style guide, swift, system, uber, websocket"
