ID,Title,Language,Domain,Category,Subcategory,Authority,URL,Keywords,Summary
155e25eed26d,OWASP Top 10 (2024),Security,general,Security,DevSecOps & Security Best Practices,standard,https://owasp.org/www-project-top-ten/,"best, devsecops, owasp, practices, rest, security, top","OWASP Top 10 (2024)

> Source: https://owasp.org/www-project-top-ten/

OWASP Top Ten Web Application Security Risks

The most current released version is the OWASP Top Ten 2025.

Previous versions are available at OWASP Top Ten 2021 and OWASP Top 10 2017 (PDF). Older versiona are available in the Github repo.

The OWASP Top 10 is a standard awareness document for developers and web application security. It represents a broad consensus about the most critical security risks to web..."
3c4ee2506a66,12 Factors for Building Cloud-Native Apps,Microservices,cloud,Cloud & Deployment,Microservices & Cloud-Native Best Practices,standard,https://12factor.net/,"apps, architecture, best, building, cloud, database, deployment, factors, for, microservices, native, practices","12 Factors for Building Cloud-Native Apps

> Source: https://12factor.net/

Introduction

In the modern era, software is commonly delivered as a service: called *web apps*, or *software-as-a-service*. The twelve-factor app is a methodology for building software-as-a-service apps that:

* Use **declarative** formats for setup automation, to minimize time and cost for new developers joining the project;
* Have a **clean contract** with the underlying operating system, offering **maximum..."
4ea29adcea71,System Design 101,Featured Resources,general,Featured Resources,Must-Read Guides,open-source,https://github.com/ByteByteGoHq/system-design-101,"api, design, featured, guides, must, read, resources, system, websocket","System Design 101

> Source: https://github.com/ByteByteGoHq/system-design-101

   

  【
  
    👨🏻‍💻 YouTube
   | 
  
    📮 Newsletter
   】

System Design 101

Explain complex systems using visuals and simple terms. 

Whether you're preparing for a System Design Interview or you simply want to understand how systems work beneath the surface, we hope this repository will help you achieve that.

Table of Contents

* API and Web Development
  * Short/long polling, SSE, WebSocket
  * Load Balancer..."
160451e7a95a,Clean Code JavaScript,JavaScript,frontend,Core Technologies,JavaScript Best Practices,open-source,https://github.com/ryanmcdermott/clean-code-javascript,"architecture, best, clean, clean code, code, core, ecmascript, es6, javascript, js, node, practices, style guide, technologies, testing","Clean Code JavaScript

> Source: https://github.com/ryanmcdermott/clean-code-javascript

clean-code-javascript

Table of Contents

1. Introduction
2. Variables
3. Functions
4. Objects and Data Structures
5. Classes
6. SOLID
7. Testing
8. Concurrency
9. Error Handling
10. Formatting
11. Comments
12. Translation

Introduction

!Humorous image of software quality estimation as a count of how many expletives
you shout when reading code

Software engineering principles, from Robert C. Martin's..."
264a840f9cbd,Airbnb JavaScript Style Guide,JavaScript,frontend,Core Technologies,JavaScript Best Practices,industry-leader,https://github.com/airbnb/javascript,"airbnb, best, core, ecmascript, es6, guide, javascript, js, node, practices, style, style guide, technologies","Airbnb JavaScript Style Guide

> Source: https://github.com/airbnb/javascript

Airbnb JavaScript Style Guide() {

*A mostly reasonable approach to JavaScript*

> **Note**: this guide assumes you are using Babel, and requires that you use babel-preset-airbnb or the equivalent. It also assumes you are installing shims/polyfills in your app, with airbnb-browser-shims or the..."
55fd282786db,Dropbox (S)CSS Style Guide,CSS,frontend,Core Technologies,CSS Best Practices,open-source,https://github.com/dropbox/css-style-guide,"best, core, css, dropbox, guide, practices, style, style guide, technologies","Dropbox (S)CSS Style Guide

> Source: https://github.com/dropbox/css-style-guide

Dropbox (S)CSS Style Guide

> “Every line of code should appear to be written by a single person, no matter the number of contributors.” —@mdo

General
Don’ts

- Avoid using HTML tags in CSS selectors
  - E.g. Prefer `.o-modal {}` over `div.o-modal {}`
  - Always prefer using a class over HTML tags (with some exceptions like CSS resets)
- Don't use ids in selectors
  - `#header` is overly specific compared to, for..."
bd059ebcf1c7,Design Resources for Developers,Get Involved,general,Get Involved,Contributors,open-source,https://github.com/bradtraversy/design-resources-for-developers,"contributors, design, developers, for, get, involved, resources, style guide","Design Resources for Developers

> Source: https://github.com/bradtraversy/design-resources-for-developers

   Special thanks to:
   
   
   
      
   

Warp, the intelligent terminal for developers
Available for MacOS, Linux, & Windows

Please read `contributing guidelines` before submitting new resources.

Table of Contents

- UI Graphics
- Fonts
- Colors
- Icons
- Logos
- Favicons
- Icon Fonts
- Stock Photos
- Stock Videos
- Stock Music & Sound Effects
- Vectors & Clip Art
- Product & Image..."
07ca7c7023e9,22 C# Best Practices,C/C++,systems,Enterprise & JVM Languages,C Best Practices,community,https://code-maze.com/csharp-22-best-practices/,"architecture, best, best practices, enterprise, jvm, languages, practices","22 C# Best Practices

> Source: https://code-maze.com/csharp-22-best-practices/

22 C# Best Practices

Posted by Code Maze | Updated Date Oct 4, 2023 | 6

[](https://courses.code-maze.com/courses/?source=tbanner&p=csharp-22-best-practices/)

Ready to take your skills to the next level? Jump into our high-impact courses in web development and software architecture, all with a focus on mastering the .NET/C# framework. Whether you're **building sleek web applications or designing scalable software..."
07d8bef094e7,Uber Go Style Guide,Featured Resources,general,Featured Resources,Language-Specific Gems,industry-leader,https://github.com/uber-go/guide/blob/master/style.md,"featured, gems, go, golang, guide, language, resources, specific, style, style guide, uber","Uber Go Style Guide

> Source: https://github.com/uber-go/guide/blob/master/style.md

uber-go 
/
**guide**
Public

* Notifications You must be signed in to change notification settings
* Fork
  1.8k
* Star
   17.3k"
15916ee7a0c1,Angular.js Advanced Design Patterns,Angular,frontend,Frameworks & Libraries,Angular Best Practices,open-source,https://github.com/trochette/Angular-Design-Patterns-Best-Practices,"advanced, angular, angular.js, angularjs, best, best practices, design, design patterns, frameworks, libraries, ng, patterns, practices","Angular.js Advanced Design Patterns

> Source: https://github.com/trochette/Angular-Design-Patterns-Best-Practices

Angular.js: Advanced Design Patterns and Best Practices

Source code and examples from the talks given at MagmaConf 2013 and OpenCode. 

Content

* Tip #1: Code Organization
* Tip #2: Keep controllers simple
* Tip #3: Business logic belongs to models
* Tip #4: Create facade to interact with servers
* Tip #5: Leverage providers configuration
* Tip #6: Share a Notifications..."
