Category,Languages,Resource Count,Top Resources
AI Tools for Developers,AI Tools for Developers,8,Best Practices for Coding with AI (2024) | AI Tools for Developers: 5 Types of Tools & How to Choose | Awesome AI-Powered Developer Tools | The Do's and Don'ts of Using AI in Software Development | 10 Best Practices for Secure AI Development
AI/ML Engineering Best Practices,AI/ML Engineering Best Practices,7,MLOps Best Practices (Google Cloud) | Responsible AI Practices (Google) | Best Practices for LLM Applications | IBM Data Science – Best Practices | AI Best Practices (XenonStack Blog)
Cloud & Deployment,"AWS, Microservices",4,12 Factors for Building Cloud-Native Apps | AWS Well-Architected Framework | Microservices Best Practices (Microsoft) | Cloud-Native Patterns (CNCF)
Core Technologies,"CSS, HTML, JavaScript, SASS/SCSS, TypeScript",20,Clean Code JavaScript | Airbnb JavaScript Style Guide | Dropbox (S)CSS Style Guide | CSS Coding Standards & Best Practices | Google CSS Style Guide
Dart Best Practices,Dart Best Practices,3,Dart & Flutter Best Practices | Performance Best Practices | Writing Clean Code in Dart: Best Practices & Design Patterns
Enterprise & JVM Languages,"C/C++, Java, Kotlin, Scala",10,22 C# Best Practices | Java Best Practices | Selenium Best Practices | Java Best Practices Guide | 30 Java Programming Tips for Beginners
Featured Resources,Featured Resources,6,System Design 101 | Uber Go Style Guide | Google HTML/CSS Style Guide | Design Patterns in Go | Design Patterns in Swift
Flutter Best Practices,Flutter Best Practices,1,Performance Best Practices
Frameworks & Libraries,"Angular, Frameworks & Libraries, Next.js, Nuxt, React Native, Vue.js",11,Angular.js Advanced Design Patterns | Angular 2 Style Guide | Best Practices for Clean React/Next.js Projects | Best Practices to Increase Next.js Speed | 10 Nuxt Best Practices
Functional & Specialized,"Functional & Specialized, Go, Lua, Objective-C, Perl, Swift",17,Go Best Practices | Go Style Guide | Golang Tutorial Series | Soham Kamani – Golang | Swift Style Guide (Eure)
Get Involved,Get Involved,4,Design Resources for Developers | The Book of Secret Knowledge | Awesome Lists | Free Programming Books
NoSQL & Big Data,NoSQL & Big Data,3,10 NoSQL Data Modeling Best Practices | MongoDB Schema Design Best Practices | 11 MongoDB Security Features & Best Practices
Performance,Frontend Performance,2,Web Vitals Best Practices (Google) | High Performance Web Apps (MDN)
Performance & Architecture,System Design,1,System Design 101
R Best Practices,R Best Practices,3,Beyond Basic R – Introduction & Best Practices | Best Practices for Writing R Code | R Coding Style Best Practices
SQL Databases,"MySQL, PostgreSQL, SQL",9,SQL Style Guide | Best Practices for Writing SQL Queries | SQL Performance Explained (Markus Winand) | PostgreSQL Performance Best Practices | Best Practices for PostgreSQL Database
Scripting & Automation,Bash,4,Bash Best Practices | progrium/bashstyle | Best Practices for Bash Scripts | Best Practices for Writing Bash Scripts
Security,"API Security, Security",2,OWASP Top 10 (2024) | API Security Checklist
Systems Programming,"C/C++, Rust",11,c-style | 3 Coding Best Practices for C++ | Collaborative Collection of C++ Best Practices | The C++ Core Guidelines | C++ Best Practices (CppCon)
Version Control & Collaboration,Version Control & Collaboration,2,Agile Development Best Practices | Effective Pair Programming
Web Backend,"Laravel, NestJS, Node.js, PHP, Python, Ruby, Ruby on Rails",24,rails_best_practices | RisingStack Node.js Style Guide | Python Code Style Guide | Arel Cheatsheet | 11 Tips to Write Better Python Code
